season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label,filter_pass,raw_edge_pass
2026,372562,2026-03-21,2026-03-21 16:10:00+00:00,ncaa_tournament,Michigan,Saint Louis,-12.5,8.567,AWAY,0.605,0.081,0.478,0.501,0.023,False,none,2.623,2.623,0.0,0.0,True,raw edge only / filtered out,raw-edge watchlist only,False,True
2026,372563,2026-03-21,2026-03-21 18:45:00+00:00,ncaa_tournament,Michigan State,Louisville,-4.5,1.822,AWAY,0.577,0.053,0.469,0.273,-0.195,False,new/transient,-4.425,4.425,0.0,0.0,True,below internal threshold,below internal threshold,False,False
2026,372564,2026-03-21,2026-03-21 21:15:00+00:00,ncaa_tournament,Duke,TCU,-12.5,10.926,AWAY,0.541,0.017,0.458,0.287,-0.171,False,new/transient,-3.576,3.576,0.0,0.0,True,below internal threshold,below internal threshold,False,False
2026,372565,2026-03-21,2026-03-21 22:10:00+00:00,ncaa_tournament,Houston,Texas A&M,-10.5,6.64,AWAY,0.6,0.076,0.477,0.356,-0.12,False,new/transient,0.03,0.03,0.0,0.0,True,below internal threshold,below internal threshold,False,False
2026,372570,2026-03-21,2026-03-21 23:00:00+00:00,,UNC Wilmington,Dayton,2.5,1.214,HOME,0.6,0.076,0.519,0.522,0.003,False,none,0.0,0.0,0.0,0.0,False,below internal threshold,below internal threshold,False,False
2026,372566,2026-03-21,2026-03-21 23:10:00+00:00,ncaa_tournament,Gonzaga,Texas,-6.5,1.25,AWAY,0.641,0.117,0.489,0.374,-0.115,False,persistent,-3.929,3.929,2.0,2.0,True,raw edge only / filtered out,raw-edge watchlist only,False,True
2026,372567,2026-03-21,2026-03-21 23:50:00+00:00,ncaa_tournament,Illinois,VCU,-11.5,9.341,AWAY,0.557,0.033,0.463,0.325,-0.138,False,new/transient,-1.516,1.516,0.0,0.0,True,below internal threshold,below internal threshold,False,False
2026,372568,2026-03-21,2026-03-22 00:45:00+00:00,ncaa_tournament,Nebraska,Vanderbilt,1.5,-1.881,AWAY,0.51,-0.013,0.456,0.262,-0.193,False,new/transient,-3.572,3.572,0.0,0.0,True,below internal threshold,below internal threshold,False,False
2026,372571,2026-03-21,2026-03-22 01:00:00+00:00,,Nevada,Liberty,-7.5,9.769,HOME,0.56,0.036,0.512,0.492,-0.02,False,none,0.0,0.0,0.0,0.0,False,below internal threshold,below internal threshold,False,False
2026,372569,2026-03-21,2026-03-22 01:45:00+00:00,ncaa_tournament,Arkansas,High Point,-11.5,11.254,AWAY,0.507,-0.017,0.449,0.545,0.096,False,persistent,5.29,5.29,3.0,31.0,True,below internal threshold,below internal threshold,False,False
