window,strategy,slice,tracked_rows,bets,wins,losses,pushes,pending,ats_hit_rate,roi_per_1_at_minus_110,avg_pick_prob_edge,avg_filter_score
season_to_date,filter_only,full_live,171,90,48,42,1,80,0.5333,0.0182,0.0207,0.6514
season_to_date,filter_only,feb15_plus,171,90,48,42,1,80,0.5333,0.0182,0.0207,0.6514
season_to_date,filter_only,march,81,47,26,21,1,33,0.5532,0.0561,0.0152,0.651
season_to_date,filter_only,conference_tournaments,47,45,26,19,1,1,0.5778,0.103,0.0126,0.6389
season_to_date,filter_only,ncaa_tournament,0,0,0,0,0,0,,,,
season_to_date,internal_filter,full_live,229,124,68,56,1,104,0.5484,0.0469,0.0487,0.6489
season_to_date,internal_filter,feb15_plus,229,124,68,56,1,104,0.5484,0.0469,0.0487,0.6489
season_to_date,internal_filter,march,97,57,32,25,1,39,0.5614,0.0718,0.032,0.6474
season_to_date,internal_filter,conference_tournaments,57,55,32,23,1,1,0.5818,0.1107,0.032,0.6374
season_to_date,internal_filter,ncaa_tournament,0,0,0,0,0,0,,,,
season_to_date,ncaa_caution,full_live,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
season_to_date,ncaa_caution,feb15_plus,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
season_to_date,ncaa_caution,march,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
season_to_date,ncaa_caution,conference_tournaments,0,0,0,0,0,0,,,,
season_to_date,ncaa_caution,ncaa_tournament,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
season_to_date,overlap,full_live,58,34,20,14,0,24,0.5882,0.123,0.1295,0.6414
season_to_date,overlap,feb15_plus,58,34,20,14,0,24,0.5882,0.123,0.1295,0.6414
season_to_date,overlap,march,16,10,6,4,0,6,0.6,0.1455,0.1127,0.6294
season_to_date,overlap,conference_tournaments,10,10,6,4,0,0,0.6,0.1455,0.1152,0.6303
season_to_date,overlap,ncaa_tournament,0,0,0,0,0,0,,,,
season_to_date,raw_edge_baseline,full_live,407,224,121,103,0,183,0.5402,0.0312,0.1395,0.4089
