strategy,slice,tracked_rows,bets,wins,losses,pushes,pending,ats_hit_rate,roi_per_1_at_minus_110,avg_pick_prob_edge,avg_filter_score
internal_filter,full_live,229,124,68,56,1,104,0.5484,0.0469,0.0487,0.6489
internal_filter,feb15_plus,229,124,68,56,1,104,0.5484,0.0469,0.0487,0.6489
internal_filter,march,97,57,32,25,1,39,0.5614,0.0718,0.032,0.6474
internal_filter,conference_tournaments,57,55,32,23,1,1,0.5818,0.1107,0.032,0.6374
internal_filter,ncaa_tournament,0,0,0,0,0,0,,,,
raw_edge_baseline,full_live,407,224,121,103,0,183,0.5402,0.0312,0.1395,0.4089
raw_edge_baseline,feb15_plus,401,218,120,98,0,183,0.5505,0.0509,0.14,0.4075
raw_edge_baseline,march,162,80,42,38,0,82,0.525,0.0023,0.1389,0.4021
raw_edge_baseline,conference_tournaments,55,55,33,22,0,0,0.6,0.1455,0.1277,0.4009
raw_edge_baseline,ncaa_tournament,24,24,8,16,0,0,0.3333,-0.3636,0.1409,0.4991
overlap,full_live,58,34,20,14,0,24,0.5882,0.123,0.1295,0.6414
overlap,feb15_plus,58,34,20,14,0,24,0.5882,0.123,0.1295,0.6414
overlap,march,16,10,6,4,0,6,0.6,0.1455,0.1127,0.6294
overlap,conference_tournaments,10,10,6,4,0,0,0.6,0.1455,0.1152,0.6303
overlap,ncaa_tournament,0,0,0,0,0,0,,,,
filter_only,full_live,171,90,48,42,1,80,0.5333,0.0182,0.0207,0.6514
filter_only,feb15_plus,171,90,48,42,1,80,0.5333,0.0182,0.0207,0.6514
filter_only,march,81,47,26,21,1,33,0.5532,0.0561,0.0152,0.651
filter_only,conference_tournaments,47,45,26,19,1,1,0.5778,0.103,0.0126,0.6389
filter_only,ncaa_tournament,0,0,0,0,0,0,,,,
raw_only,full_live,346,187,99,88,0,159,0.5294,0.0107,0.1409,0.3682
raw_only,feb15_plus,340,181,98,83,0,159,0.5414,0.0337,0.1415,0.3658
raw_only,march,143,67,34,33,0,76,0.5075,-0.0312,0.1411,0.3723
raw_only,conference_tournaments,45,45,27,18,0,0,0.6,0.1455,0.1305,0.35
raw_only,ncaa_tournament,21,21,6,15,0,0,0.2857,-0.4545,0.1361,0.4833
ncaa_caution,full_live,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
ncaa_caution,feb15_plus,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
ncaa_caution,march,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
ncaa_caution,conference_tournaments,0,0,0,0,0,0,,,,
ncaa_caution,ncaa_tournament,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
