candidate,slice,bucket_lo,bucket_hi,rows,avg_pred_home_prob,actual_home_win_rate,home_calibration_gap
cap14_baseline,ncaa_tournament_neutral,0.3,0.4,5,0.3780499517917633,0.2,0.1780499517917633
cap14_baseline,ncaa_tournament_neutral,0.4,0.45,21,0.43132291379429044,0.3333333333333333,0.09798958046095713
cap14_baseline,ncaa_tournament_neutral,0.45,0.55,79,0.5100891326047197,0.5189873417721519,-0.008898209167432225
cap14_baseline,ncaa_tournament_neutral,0.55,0.6,55,0.5744748950004578,0.6363636363636364,-0.06188874136317857
cap14_baseline,ncaa_tournament_neutral,0.6,0.7,77,0.64326857436787,0.8181818181818182,-0.17491324381394824
cap14_baseline,ncaa_tournament_neutral,0.7,0.8,73,0.7525972381030044,0.8356164383561644,-0.08301920025316001
cap14_baseline,ncaa_tournament_neutral,0.8,0.9,25,0.831046016216278,0.88,-0.048953983783721955
cap14_baseline,conference_tournament_neutral,0.1,0.2,1,0.17138810455799103,1.0,-0.828611895442009
cap14_baseline,conference_tournament_neutral,0.2,0.3,9,0.25728092590967816,0.4444444444444444,-0.18716351853476626
cap14_baseline,conference_tournament_neutral,0.3,0.4,37,0.37090381013380513,0.40540540540540543,-0.034501595271600294
cap14_baseline,conference_tournament_neutral,0.4,0.45,87,0.4305452409831957,0.3563218390804598,0.07422340190273591
cap14_baseline,conference_tournament_neutral,0.45,0.55,261,0.5058192756897645,0.45977011494252873,0.04604916074723575
cap14_baseline,conference_tournament_neutral,0.55,0.6,256,0.5777673106640577,0.63671875,-0.05895143933594227
cap14_baseline,conference_tournament_neutral,0.6,0.7,460,0.6464859165575193,0.7673913043478261,-0.1209053877903068
cap14_baseline,conference_tournament_neutral,0.7,0.8,243,0.742457748440558,0.8847736625514403,-0.1423159141108823
cap14_baseline,conference_tournament_neutral,0.8,0.9,26,0.8244967987904182,0.8846153846153846,-0.06011858582496643
cap14_baseline,all_neutral,0.0,0.1,5,0.08242374658584595,0.2,-0.11757625341415406
cap14_baseline,all_neutral,0.1,0.2,37,0.15574262955704252,0.16216216216216217,-0.006419532605119654
cap14_baseline,all_neutral,0.2,0.3,98,0.26038108309920954,0.21428571428571427,0.04609536881349527
cap14_baseline,all_neutral,0.3,0.4,396,0.36340635360190365,0.255050505050505,0.10835584855139863
cap14_baseline,all_neutral,0.4,0.45,440,0.42727386050603605,0.3977272727272727,0.029546587778763345
cap14_baseline,all_neutral,0.45,0.55,1014,0.5024395346406414,0.5078895463510849,-0.005450011710443459
cap14_baseline,all_neutral,0.55,0.6,636,0.5761312931401175,0.6383647798742138,-0.062233486734096344
cap14_baseline,all_neutral,0.6,0.7,930,0.6440082307143878,0.7548387096774194,-0.11083047896303155
cap14_baseline,all_neutral,0.7,0.8,438,0.7432818951672071,0.8493150684931506,-0.10603317332594353
cap14_baseline,all_neutral,0.8,0.9,79,0.8321915683867056,0.8987341772151899,-0.06654260882848428
cap14_baseline,all_neutral,0.9,1.0,6,0.9238979319731394,0.8333333333333334,0.09056459863980604
cap14_baseline,all_games,0.0,0.1,5,0.08242374658584595,0.2,-0.11757625341415406
cap14_baseline,all_games,0.1,0.2,70,0.16065085817660604,0.08571428571428572,0.07493657246232033
cap14_baseline,all_games,0.2,0.3,528,0.2652625725181265,0.1553030303030303,0.10995954221509621
cap14_baseline,all_games,0.3,0.4,1943,0.3579499882272513,0.2161605764282038,0.14178941179904753
cap14_baseline,all_games,0.4,0.45,1798,0.4268710384014849,0.3231368186874305,0.10373421971405439
cap14_baseline,all_games,0.45,0.55,5300,0.5043349193008441,0.4428301886792453,0.06150473062159878
cap14_baseline,all_games,0.55,0.6,3803,0.5756430646760696,0.556139889560873,0.019503175115196614
cap14_baseline,all_games,0.6,0.7,8570,0.649920060830745,0.682730455075846,-0.032810394245100905
cap14_baseline,all_games,0.7,0.8,5961,0.7467784024168833,0.8218419728233518,-0.0750635704064685
cap14_baseline,all_games,0.8,0.9,3922,0.8471865354448724,0.9105048444671087,-0.06331830902223623
cap14_baseline,all_games,0.9,1.0,4657,0.9660998584631817,0.968005153532317,-0.0019052950691352821
current_active_market_v1,ncaa_tournament_neutral,0.3,0.4,2,0.38344675302505493,0.5,-0.11655324697494507
current_active_market_v1,ncaa_tournament_neutral,0.4,0.45,6,0.4302109330892563,0.0,0.4302109330892563
current_active_market_v1,ncaa_tournament_neutral,0.45,0.55,48,0.5064563055833181,0.4791666666666667,0.027289638916651426
current_active_market_v1,ncaa_tournament_neutral,0.55,0.6,39,0.573868487125788,0.46153846153846156,0.11233002558732641
current_active_market_v1,ncaa_tournament_neutral,0.6,0.7,88,0.6471454230221835,0.6818181818181818,-0.03467275879599829
current_active_market_v1,ncaa_tournament_neutral,0.7,0.8,66,0.7442117721745463,0.7878787878787878,-0.043667015704241585
current_active_market_v1,ncaa_tournament_neutral,0.8,0.9,76,0.8516727333006106,0.8947368421052632,-0.04306410880465261
current_active_market_v1,ncaa_tournament_neutral,0.9,1.0,10,0.9164366006851197,0.8,0.11643660068511963
current_active_market_v1,conference_tournament_neutral,0.1,0.2,2,0.15572448819875717,0.5,-0.34427551180124283
current_active_market_v1,conference_tournament_neutral,0.2,0.3,8,0.25132131949067116,0.375,-0.12367868050932884
current_active_market_v1,conference_tournament_neutral,0.3,0.4,32,0.3620956698432565,0.46875,-0.10665433015674353
current_active_market_v1,conference_tournament_neutral,0.4,0.45,75,0.43042335788408914,0.36,0.07042335788408915
