candidate,season,intercept,mu,sigma_cap14,z14,post_dec15,abs_mu,neutral_site,is_ncaa_neutral,is_conf_tourney_neutral,z14_x_neutral,abs_mu_x_neutral
bounded_anchor_v1,2019,-0.35,0.14,-0.02,-0.05,0.02,-0.01,0.05,0.0,0.019999999999999997,-0.28,0.0
reduced_context_v1,2019,-0.07950121034419869,0.19527182433106788,-0.014064637268570697,0.014747549763832536,0.1150171190373787,-0.023421959854923364,0.21465679677359512,,,-1.4833926179634247,
shape_penalized_v1,2019,-0.15893477779817053,0.19058754238436004,-0.01728669031175122,-0.047778967905489265,0.18827333718068373,-0.0006853853325701774,0.5105686531394356,-0.348112178943342,0.08124477830073416,-0.8354987071298409,-0.05951188679424621
bounded_anchor_v1,2020,-0.18947120516355526,0.14,-0.004,-0.04474529443811277,0.06742027562364898,-0.01,0.055537189869564615,0.0,-0.011900578269072969,-0.28,0.0
reduced_context_v1,2020,-0.10532444371772394,0.191387297724669,-0.013714027142563633,0.006327011708314774,0.10292714617456891,-0.01284221177031162,0.24776607921230298,,,-1.115067241399278,
shape_penalized_v1,2020,-0.17028814661191266,0.18067648223598728,-0.012380017971450106,0.011659153623037703,0.11675794949288013,0.004762570207768124,0.41917667502331196,-0.13701820446190136,0.13438631970740084,-0.5263271719771528,-0.057418214227676435
bounded_anchor_v1,2022,-0.13793422689616233,0.14,-0.004,-0.05,0.02,-0.01,0.05,0.0,0.02,-0.28,0.0
reduced_context_v1,2022,-0.11023469282409484,0.1893953691954976,-0.01296260974375908,0.02151821603931093,0.09860670198259452,-0.014436994883135795,0.2478554873733307,,,-1.0882123932789434,
shape_penalized_v1,2022,-0.1430322770304306,0.1843081703058169,-0.016119361976337187,0.010706416923634998,0.13962232589904638,-5.879531946894784e-05,0.4562029810843963,-0.2473511075167306,0.03956739080938982,-0.6131899100285404,-0.0436228466450605
bounded_anchor_v1,2023,-0.1394100653975576,0.14,-0.004,-0.05,0.02,-0.01,0.05,0.0,0.02,-0.28,0.0
reduced_context_v1,2023,-0.11206515052219872,0.19033898536508065,-0.013483328600350954,0.02208737931956407,0.10198755724105722,-0.016444256641674856,0.2526014483042766,,,-1.0764332548454898,
shape_penalized_v1,2023,-0.15554549796229758,0.18563812375589292,-0.01590381699587993,0.007879939343042652,0.1459326158157764,-0.002386821482000027,0.47750968030563984,-0.2157139122645853,0.033224300230134236,-0.6031759677548868,-0.047029119152932126
bounded_anchor_v1,2024,-0.35,0.14,-0.02,-0.05,0.02,-0.01,0.05,0.0,0.02,-0.28,0.0
reduced_context_v1,2024,-0.08830870123454435,0.19649725698349615,-0.009481455072142903,0.02381296389167327,0.06587532650523698,-0.03449179282796966,0.21737963922395104,,,-1.5882619493773884,
shape_penalized_v1,2024,-0.1531574095117115,0.18487567430945567,-0.01443692716837574,0.0015151526962245078,0.13388605922396507,-0.006324574241070455,0.5725055695552637,-0.44224653155292315,0.10656850684974672,-0.6683548184839383,-0.08152596530445248
bounded_anchor_v1,2025,-0.35,0.14,-0.004933319785090402,-0.05,0.02,-0.01,0.05,0.0,0.02,-0.28,0.0
reduced_context_v1,2025,-0.10528024422324608,0.19017802305226514,-0.010710859143286254,0.03921041509289415,0.07755654818191224,-0.02466901115355127,0.23722554539454774,,,-1.228354652612924,
shape_penalized_v1,2025,-0.1737967430765773,0.18172873239986506,-0.011451722025169583,0.01664424503975244,0.11106765352377339,-0.004147943782536821,0.48409206111598313,-0.20384096020008569,0.14411346077362866,-0.5427911384763465,-0.06703177127595872
