slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label,filter_pass,raw_edge_pass
conference_tournaments,Akron,Toledo,-8.5,3.298,AWAY,0.57,0.046,0.512,0.278,-0.235,False,none,-13.147,13.147,1,1,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Duke,Virginia,-6.5,1.774,AWAY,0.567,0.043,0.51,0.283,-0.227,False,persistent,-13.863,13.863,5,27,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Louisiana Tech,Kennesaw State,1.5,-1.199,HOME,0.504,-0.02,0.468,0.422,-0.046,False,none,-2.806,2.806,0,0,True,below internal threshold,below internal threshold,False,False
conference_tournaments,UC Irvine,Hawai'i,-1.5,1.818,HOME,0.504,-0.02,0.473,0.548,0.075,False,persistent,4.411,4.411,5,29,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Utah Valley,California Baptist,-2.5,3.97,HOME,0.52,-0.004,0.483,0.524,0.04,False,persistent,2.352,2.352,5,26,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Yale,Cornell,-4.0,3.369,AWAY,0.508,-0.015,0.469,0.261,-0.209,False,persistent,-12.787,12.787,4,11,True,below internal threshold,below internal threshold,False,False
conference_tournaments,UMBC,Vermont,-3.0,4.963,HOME,0.526,0.002,0.493,0.563,0.07,False,persistent,5.994,5.994,3,3,False,below internal threshold,below internal threshold,False,False
conference_tournaments,Michigan,Wisconsin,-12.0,4.556,AWAY,0.598,0.074,0.532,0.383,-0.149,False,persistent,-9.126,9.126,5,30,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Florida,Vanderbilt,-8.0,5.091,AWAY,0.539,0.015,0.49,0.43,-0.061,False,persistent,-4.835,4.835,5,30,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Howard,North Carolina Central,-11.5,6.53,AWAY,0.566,0.042,0.509,0.199,-0.31,False,persistent,-17.466,17.466,5,25,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Saint Louis,Dayton,-5.0,4.654,AWAY,0.505,-0.019,0.467,0.396,-0.071,False,persistent,-5.396,5.396,5,26,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Harvard,Pennsylvania,-2.5,1.205,AWAY,0.517,-0.007,0.476,0.537,0.062,False,persistent,2.542,2.542,4,12,True,below internal threshold,below internal threshold,False,False
conference_tournaments,South Florida,Charlotte,-14.0,8.114,AWAY,0.591,0.068,0.524,0.357,-0.167,False,none,-8.796,8.796,0,0,True,below internal threshold,below internal threshold,False,False
conference_tournaments,UCLA,Purdue,7.0,-3.58,HOME,0.545,0.022,0.495,0.39,-0.105,False,persistent,-7.097,7.097,5,30,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Arkansas,Ole Miss,-8.5,4.086,AWAY,0.558,0.034,0.504,0.326,-0.179,False,persistent,-11.124,11.124,6,31,True,below internal threshold,below internal threshold,False,False
conference_tournaments,VCU,Saint Joseph's,-6.0,4.025,AWAY,0.526,0.002,0.482,0.385,-0.097,False,persistent,-5.696,5.696,3,3,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Wichita State,Tulsa,1.5,-1.327,HOME,0.502,-0.021,0.466,0.395,-0.071,False,persistent,-5.42,5.42,4,29,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Arizona,Houston,-1.5,0.24,AWAY,0.518,-0.006,0.479,0.419,-0.06,False,persistent,-4.935,4.935,5,30,True,below internal threshold,below internal threshold,False,False
conference_tournaments,Utah State,San Diego State,-2.5,2.893,HOME,0.505,-0.019,0.473,0.599,0.126,True,persistent,7.735,7.735,5,29,True,disagreement-led persistent,decision-useful internal candidate,True,False
conference_tournaments,St. John's,UConn,2.5,1.438,HOME,0.566,0.042,0.514,0.528,0.013,False,persistent,-0.553,0.553,5,31,False,below internal threshold,below internal threshold,False,False
conference_tournaments,Southern,Prairie View A&M,-2.5,1.399,AWAY,0.515,-0.009,0.474,0.485,0.011,False,persistent,-0.543,0.543,6,28,True,below internal threshold,below internal threshold,False,False
